"","Year","Month","Census.FIPS","FIPS.county","FIPS.state","ProjectTitle","Address","City","State","Zipcode","County","Type","Ownership","Strys","SqFt","Value1000","Dwellings","sizegroup"
"11","2009","01","16001",1,16,"South Branch Library TI","3531 E Overland Rd","Meridian","ID","83642","ADA, ID","Libraries","county",0,0,120,0,"Small"
"12","2009","08","16001",1,16,"Office Building (Alteration)","1859 S TOPAZ WAY # 200","Meridian","ID","83642","ADA, ID","Offices_1-3_stories","private",0,0,82,0,"Small"
"13","2008","11","16001",1,16,"Office Building (Alteration)","10114 W Overland Rd","Boise","ID","83709","ADA, ID","Offices_1-3_stories","private",0,0,75,0,"Small"
"14","2009","08","16001",1,16,"Boise Air Terminal - Snow Broom Equipment Building","4465 Industrial St","Boise","ID","83705","ADA, ID","Warehouses_Non-Refrigerated","county",1,5900,578,0,"Small"
"15","2008","01","16001",1,16,"Boise Town Square Mall Interior Renovations","350 N Milwaukee St","Boise","ID","83704","ADA, ID","Shopping_Centers","private",0,0,8000,0,"Small"
"16","2009","02","16001",1,16,"Meridian High School Concessions/Press Box","1900 W Pine Ave","Meridian","ID","83642","ADA, ID","Food_Beverage_Service","county",2,2000,150,0,"Small"
"17","2009","04","16001",1,16,"Car Wash (Alteration)","3918 W Overland Rd","Boise","ID","83705","ADA, ID","Auto_Service","private",0,0,231,0,"Small"
"18","2008","11","16001",1,16,"Coffee Shop (Alteration)","10804 W Fairview Ave 104","Boise","ID","83713","ADA, ID","Food_Beverage_Service","private",0,0,82,0,"Small"
"19","2009","08","16001",1,16,"Pizza Restaurant (Alteration)","2830 N EAGLE RD # 100","Meridian","ID","83646","ADA, ID","Food_Beverage_Service","private",0,0,110,0,"Small"
"20","2008","01","16001",1,16,"School (Alteration)","3536 Hill Rd","Ada County","ID","","ADA, ID","Primary_Schools","private",0,0,90,0,"Small"
"21","2008","11","16001",1,16,"Office Building (Alteration)","2895 S Federal Wy","Boise","ID","83705","ADA, ID","Offices_1-3_stories","private",0,0,75,0,"Small"
"22","2008","03","16001",1,16,"Albertsons Store 0164 (Meridian, ID) (Remodel)","20 E Fairview Ave","Meridian","ID","83642","ADA, ID","Stores","private",0,0,750,0,"Small"
"23","2009","06","16001",1,16,"College","1444 S Entertainment Ave Fl 3","Boise","ID","83709","ADA, ID","Colleges_Universities_Except_Community","private",1,7500,786,0,"Small"
"24","2009","06","16001",1,16,"Gas Station #410","1630 E McMillan Rd","Meridian","ID","83646","ADA, ID","Auto_Service","private",1,12300,870,0,"Small"
"25","2009","07","16001",1,16,"ID/DOT Sand Storage Building - Ion, US-95, MP 15","US-95 at MP 15","Not Available","ID","83703","ADA, ID","Warehouses_Non-Refrigerated","state",1,7200,73,0,"Small"
"26","2008","06","16001",1,16,"Eagle Executive Suites Office/ Retail Building Phase 3","825 E State St","Eagle","ID","83616","ADA, ID","Offices_1-3_stories","private",1,4900,275,0,"Small"
"27","2009","04","16001",1,16,"Garden City (ID) Wal-Mart Supercenter #2861-106 (Remodel)","7319 W State St","Boise","ID","83714","ADA, ID","Stores","private",0,0,2000,0,"Small"
"28","2009","02","16001",1,16,"Meridian Family Eye Clinic","125 W Cherry Ave","Meridian","ID","83642","ADA, ID","Clinics_Nursing_Convalescent_Facilities","private",2,4000,400,0,"Small"
"29","2009","09","16001",1,16,"Sandwich Shop (Alteration)","2959 N EAGLE RD # 105","Meridian","ID","83646","ADA, ID","Food_Beverage_Service","private",0,0,150,0,"Small"
"30","2008","07","16001",1,16,"Retail Building","3823 N Garden Center Way","Boise","ID","","ADA, ID","Stores","private",1,3400,278,0,"Small"
"31","2009","12","16001",1,16,"Boise Air Terminal - Customs & Border Protection Facility","4655 Enterprise St","Boise","ID","83705","ADA, ID","Police_Fire_Stations","county",1,6200,1023,0,"Small"
"32","2008","06","16001",1,16,"Independent School Dist. #1 - Seismic Upgrades","Various sites","Boise","ID","83702","ADA, ID","Senior_High_Schools","state",0,0,288,0,"Small"
"33","2009","07","16001",1,16,"Garfield Elementary School, New Elevator & Exterior Ramp","1914 Broadway Ave","Boise","ID","83706","ADA, ID","Primary_Schools","county",0,0,300,0,"Small"
"34","2008","11","16001",1,16,"Garage","1035 E Warm Springs Ave","Boise","ID","83712","ADA, ID","Auto_Service","private",1,1600,105,0,"Small"
"35","2008","06","16001",1,16,"Longfellow Elementary School Reroof/Upgrades","1511 N 9th St","Boise","ID","83702","ADA, ID","Primary_Schools","county",0,0,400,0,"Small"
"36","2009","10","16001",1,16,"Office Building","1912 E FRANKLIN RD","Meridian","ID","83642","ADA, ID","Offices_1-3_stories","private",1,1300,102,0,"Small"
"37","2008","01","16001",1,16,"Bank-Alteration","3715 E Overland Rd # 125","Meridian","ID","83642","ADA, ID","Banks_Financial_1-3_stories","private",0,0,245,0,"Small"
"38","2008","05","16001",1,16,"Garage (Alteration)","1223 W Jefferson St","Boise","ID","83712","ADA, ID","Auto_Service","private",0,0,100,0,"Small"
"39","2009","09","16001",1,16,"St Alphonsus Regional Medical Center (Alts) (NEGOTIATED)","1072 N Liberty St","Boise","ID","83704","ADA, ID","Clinics_Nursing_Convalescent_Facilities","state",0,0,275,0,"Small"
"40","2009","06","16001",1,16,"BSU Research Center (Negotiated)","BSU Campus","Boise","ID","83706","ADA, ID","Colleges_Universities_Except_Community","state",5,90000,30000,0,"Large"
"41","2009","06","16001",1,16,"JRW Bldg - Legislative Live/Idaho Reports Studio/IPTV (T.I.)","700 W State St","Boise","ID","83702","ADA, ID","Offices_1-3_stories","state",0,0,182,0,"Small"
"42","2008","07","16001",1,16,"Office Building (Alteration)","11911 W Franklin Rd","Boise","ID","83709","ADA, ID","Offices_1-3_stories","private",0,0,145,0,"Small"
"43","2008","08","16001",1,16,"Albertsons Store #177 Remodel (Meridian ID)","4700 Eagle Road","Meridian","ID","83713","ADA, ID","Stores","private",0,0,1025,0,"Small"
"44","2008","04","16001",1,16,"Eagle United Methodist Church (Expansion)(NEGOTIATED)","651 N Eagle Rd","Eagle","ID","83616","ADA, ID","Houses_of_Worship_Other_Religious_Bldgs","private",1,15000,1875,0,"Small"
"45","2009","10","16001",1,16,"Brown Mackie College Veterinarian Tech TI (NEGOTIATED)","9050 Overland RD","Boise","ID","","ADA, ID","Special_Schools","private",0,0,800,0,"Small"
"46","2009","06","16001",1,16,"Cole Community Church/Cole Valley Christian School (Alterat","8775 USTICK RD","Boise","ID","83704","ADA, ID","Houses_of_Worship_Other_Religious_Bldgs","private",0,0,88,0,"Small"
"47","2008","01","16001",1,16,"Office Building (Alteration)","10361 W Emerald St","Boise","ID","","ADA, ID","Offices_1-3_stories","private",0,0,180,0,"Small"
"48","2009","09","16001",1,16,"Computer Central","12160 W OVERLAND RD","Boise","ID","83709","ADA, ID","Stores","private",1,1300,79,0,"Small"
"49","2008","07","16001",1,16,"ISLD Warehouse Improvements Phase 2 - Split Case Mezzanine","1349 E Beechcraft Ct","Boise","ID","83716","ADA, ID","Refrigerated_Warehouses","state",0,0,691,0,"Small"
"50","2009","03","16001",1,16,"Athletic Facility (Alteration)","3035 W McMillan Rd Ste 104","Meridian","ID","83642","ADA, ID","Gyms_Field_Houses_Indoor_Pools","private",0,0,108,0,"Small"
"51","2008","07","16001",1,16,"Office Building (Alteration)","11911 W Franklin Rd","Boise","ID","83709","ADA, ID","Offices_1-3_stories","private",0,0,145,0,"Small"
"52","2008","06","16001",1,16,"Victory Plaza Inline Retail Store (NEGOTIATED)","Vicotry and Cole Road","Boise","ID","83707","ADA, ID","Shopping_Centers","private",1,7500,550,0,"Small"
"53","2008","04","16001",1,16,"Ada County SW Boise E.M.S. Station Remodel","2762 S Featherly Way","Boise","ID","83702","ADA, ID","Bus_and_Truck_Service","county",0,0,227,0,"Small"
"54","2008","06","16001",1,16,"Adams Elementary School Remodel","1725 Warm Springs Ave","Boise","ID","83712","ADA, ID","Primary_Schools","county",0,0,59,0,"Small"
"55","2009","09","16001",1,16,"Micron Building (Alts)","8000 S Federal Way","Boise","ID","83716","ADA, ID","Offices_1-3_stories","private",0,0,282,0,"Small"
"56","2009","09","16001",1,16,"Mystique Theater (Alteration)","1410 S ENTERTAINMENT AVE","Boise","ID","83709","ADA, ID","Theaters","private",0,0,180,0,"Small"
"57","2008","02","16001",1,16,"Office Building","2548 N Stokesbury Pl","Meridian","ID","83646","ADA, ID","Offices_1-3_stories","private",1,4700,372,0,"Small"
"58","2009","10","16001",1,16,"Additional Fence , Sallyport, & Guardhouses","SICI DOC","Boise","ID","83702","ADA, ID","Detention_Facilities","state",0,0,1052,0,"Small"
"59","2008","08","16001",1,16,"Home Federal Bank","Ustick & 5 Mile Road","Boise","ID","83704","ADA, ID","Banks_Financial_1-3_stories","private",1,5000,775,0,"Small"
"60","2008","09","16001",1,16,"BLM Smoke Jumpers Parachute Loft Building 205 (Upgrades)","2399 W Robinson Rd","Boise","ID","83705","ADA, ID","Warehouses_Non-Refrigerated","federal",0,0,597,0,"Small"
"61","2008","07","16001",1,16,"Albertsons Store #161 Remodel (Boise ID)","10700 Ustick Rd","Boise","ID","83713","ADA, ID","Stores","private",0,0,1025,0,"Small"
"62","2009","04","16001",1,16,"Dental Office Building (Alteration)","12349 W McMillan Rd","Boise","ID","83713","ADA, ID","Clinics_Nursing_Convalescent_Facilities","private",0,0,240,0,"Small"
"63","2009","10","16001",1,16,"Ada County Benjamin Campus Remodel - Phase III","Benjamin Campus Bldg","Boise","ID","83702","ADA, ID","Capitols_Court_Houses_City_Halls","county",0,0,655,0,"Small"
"64","2008","02","16001",1,16,"Meridian Gateway Marketplace (NEGOTIATED)","SEC Ustick and Eagle Road","Meridian","ID","83642","ADA, ID","Shopping_Centers","private",1,250000,15000,0,"Large"
"65","2009","02","16001",1,16,"Blind/Visually Impaired Bldg Facility Renovation Ph 2","341 W Washington St","Boise","ID","83702","ADA, ID","Offices_1-3_stories","state",0,0,335,0,"Small"
"66","2009","11","16001",1,16,"West Boise WWTF Central Laboratory Addition","11818 Joplin Rd","Boise","ID","83714","ADA, ID","Laboratories_Testing_R&D","county",1,3700,2202,0,"Small"
"67","2009","10","16001",1,16,"Key Bank Building (Alteration)","702 W IDAHO ST","Boise","ID","83702","ADA, ID","Banks_Financial_1-3_stories","private",0,0,105,0,"Small"
"68","2009","10","16001",1,16,"Office Building (Alteration)","11311 W CHINDEN BLVD","Boise","ID","83714","ADA, ID","Offices_1-3_stories","private",0,0,190,0,"Small"
"69","2008","08","16001",1,16,"Office Building (Alteration)","1833 S Millennium Wy S #120","Meridian","ID","83642","ADA, ID","Offices_1-3_stories","private",0,0,175,0,"Small"
"70","2008","10","16001",1,16,"Micron Bldg (Remodel)","Not Available","Boise","ID","83716","ADA, ID","Offices_1-3_stories","private",0,0,560,0,"Small"
"71","2008","05","16001",1,16,"Boise High School School Renovation Phase IIIB","1010 W Washington St","Boise","ID","83702","ADA, ID","Senior_High_Schools","county",0,0,1500,0,"Small"
"72","2008","08","16001",1,16,"Taco Del Mar Bldg Core/Shell (NEGOTIATED)","NE Corner of Avalon & Orchard","Kuna","ID","83634","ADA, ID","Food_Beverage_Service","private",1,4400,400,0,"Small"
"73","2009","01","16001",1,16,"Private K-12 School (NEGOTIATED)","6100 Locust Grove Rd N","Meridian","ID","83642","ADA, ID","Primary_Schools","private",2,34000,3500,0,"Medium"
"74","2008","10","16001",1,16,"Warehouse (Alteration) Costco","2051 S Cole Rd","Boise","ID","83709","ADA, ID","Warehouses_Non-Refrigerated","private",0,0,137,0,"Small"
"75","2008","07","16001",1,16,"Office Building","5520 N Eagle Rd","Boise","ID","83713","ADA, ID","Offices_1-3_stories","private",1,3800,310,0,"Small"
"76","2008","12","16001",1,16,"Tuscanos TI","1388 South Entertainment Drive","Boise","ID","83432","ADA, ID","Food_Beverage_Service","private",0,0,500,0,"Small"
"77","2009","10","16001",1,16,"America Motel (Addition)","2275 AIRPORT WAY","Boise","ID","83705","ADA, ID","Hotels_Motels_1-3_Stories","private",1,1500,141,0,"Small"
"78","2008","12","16001",1,16,"Idaho National Guard - Bldg 600 Basement Remodel","Gowen Field - 4040 W Guard St","Boise","ID","83707","ADA, ID","Armories_Military_Buildings","state",0,0,269,0,"Small"
"79","2008","08","16001",1,16,"Programming/Administration Bldg - CWC/SICI","13200 Pleasant Valley Rd","Kuna","ID","83634","ADA, ID","Offices_1-3_stories","state",1,2500,267,0,"Small"
"80","2008","08","16001",1,16,"Hospital (Alteration)","3372 E Goldstone Dr","Meridian","ID","83642","ADA, ID","Hospitals","private",0,0,122,0,"Small"
"81","2008","08","16001",1,16,"Bank Building @ Portico","Louise Dr","Meridian","ID","83642","ADA, ID","Banks_Financial_1-3_stories","private",1,5000,400,0,"Small"
"82","2009","07","16001",1,16,"Lowell Elementary School Remodel","1507 N 28th St","Boise","ID","83703","ADA, ID","Primary_Schools","county",0,0,5000,0,"Small"
"83","2008","02","16001",1,16,"Carraige Crossing Retail Building","2329 Apple St","Boise","ID","83706","ADA, ID","Stores","private",1,9100,450,0,"Small"
"84","2009","12","16001",1,16,"Brown Mackie College (TI)","1335 S Maple Grove Rd","Boise","ID","83709","ADA, ID","Special_Schools","private",0,0,700,0,"Small"
"85","2008","05","16001",1,16,"Office Building (Shell/Core)","1937 S Bonito Way","Meridian","ID","83642","ADA, ID","Offices_1-3_stories","private",3,38200,2905,0,"Medium"
"86","2008","01","16001",1,16,"Collister Shopping Center Revitalization","4602 W State St # 4607","Boise","ID","83703","ADA, ID","Stores","private",0,0,500,0,"Small"
"87","2009","12","16001",1,16,"Old Dominion Freight Lines Transfer Facility","1185 Lake Hazel Ln","Boise","ID","83705","ADA, ID","Warehouses_Non-Refrigerated","private",1,20500,1000,0,"Small"
"88","2008","03","16001",1,16,"Office Building","5960 N Rio Vista Wy","Meridian","ID","83642","ADA, ID","Offices_1-3_stories","private",1,1300,100,0,"Small"
"89","2008","07","16001",1,16,"Church (Alteration)","5900 W Castle Dr","Boise","ID","83703","ADA, ID","Houses_of_Worship_Other_Religious_Bldgs","private",0,0,112,0,"Small"
"90","2009","07","16001",1,16,"2009 Fuller Park Shop Building for Western Ada Recreation","3761 W Park Creek Drive","Meridian","ID","83642","ADA, ID","Warehouses_Non-Refrigerated","county",1,2400,151,0,"Small"
"91","2008","03","16001",1,16,"Saint Mark's School (K-8) (Addition)","7503 Northview St","Boise","ID","83704","ADA, ID","Primary_Schools","private",1,5700,400,0,"Small"
"92","2009","10","16001",1,16,"Vista Animal Hospital (Addition)","1985 S VISTA AVE","Boise","ID","83705","ADA, ID","Animal_Fish_Plant_Facilities","private",2,900,128,0,"Small"
"93","2009","11","16001",1,16,"BSU -Taco Bell Arena, Replace Platform Seating & Elec Work","1910 University Dr","Boise","ID","83706","ADA, ID","Arenas_Coliseums","state",0,0,416,0,"Small"
"94","2008","10","16001",1,16,"Retail Building (Alteration) Northface","802 W Idaho St Boise City","Boise","ID","83702","ADA, ID","Stores","private",0,0,180,0,"Small"
"95","2008","05","16001",1,16,"Gymnasium (Alteration)","199 N Capitol Blvd 308","Boise","ID","83702","ADA, ID","Gyms_Field_Houses_Indoor_Pools","private",0,0,90,0,"Small"
"96","2008","06","16001",1,16,"Accure Dental TI","1505 South Eagle Rd","Meridian","ID","83642","ADA, ID","Clinics_Nursing_Convalescent_Facilities","private",0,0,234,0,"Small"
"97","2009","01","16001",1,16,"Office Remodel & New Basement Fire Sprinkler System","317 W Main St","Boise","ID","83702","ADA, ID","Offices_1-3_stories","state",0,0,634,0,"Small"
"98","2008","05","16001",1,16,"Timberline High School - Relocated Portable Building","701 E Boise Ave","Boise","ID","83706","ADA, ID","Miscellaneous_Amusement_Recreational","county",0,0,115,0,"Small"
"99","2008","10","16001",1,16,"Church (Alteration) King Of Glory Lutheran Church","3430 N Maple Grove Rd Lot 1","Boise","ID","83704","ADA, ID","Houses_of_Worship_Other_Religious_Bldgs","private",0,0,125,0,"Small"
"100","2008","10","16001",1,16,"Coffee Shop (Alteration) Starbucks Coffee","7373 W Fairview Ave","Boise","ID","83704","ADA, ID","Food_Beverage_Service","private",0,0,100,0,"Small"
"101","2008","07","16001",1,16,"Whitney Elemetnary School New","1609 S Owyhee St","Boise","ID","83705","ADA, ID","Primary_Schools","county",1,58900,5710,0,"Medium"
"102","2009","08","16001",1,16,"Office Building","390 E GOWEN RD","Boise","ID","83716","ADA, ID","Offices_1-3_stories","private",1,10100,988,0,"Small"
"103","2009","09","16001",1,16,"Medical Office Building","1648 N West 2nd St","Meridian","ID","83642","ADA, ID","Clinics_Nursing_Convalescent_Facilities","private",1,4500,424,0,"Small"
"104","2008","08","16001",1,16,"Retail Building @ Portico Meridian","Louise Dr","Meridian","ID","83642","ADA, ID","Stores","private",1,28000,2075,0,"Medium"
"105","2008","08","16001",1,16,"Retail Building (Alteration)","3349 N Eagle Rd Ste 100","Meridian","ID","83646","ADA, ID","Stores","private",0,0,262,0,"Small"
"106","2009","05","16001",1,16,"Office Building (Alteration)","1907 S Broadway Ste 105","Ada County","ID","","ADA, ID","Offices_1-3_stories","private",0,0,77,0,"Small"
"107","2009","10","16001",1,16,"Paramount LDS Church","N Meridian Road &","Meridian","ID","83642","ADA, ID","Houses_of_Worship_Other_Religious_Bldgs","private",1,16500,2500,0,"Small"
"108","2008","08","16001",1,16,"Chili's Restaurant (Meridian ID) (NEGOTIATED)","Corner of Eagle & Ustick","Meridian","ID","83642","ADA, ID","Food_Beverage_Service","private",1,5500,450,0,"Small"
"109","2009","07","16001",1,16,"Restaurant (Alteration)","3223 E Louise Dr Ste 100","Meridian","ID","83642","ADA, ID","Food_Beverage_Service","private",0,0,220,0,"Small"
"110","2009","05","16001",1,16,"East Junior High Concession Stand","5600 E Warm Springs Ave","Ada County","ID","","ADA, ID","Primary_Schools","private",1,1900,180,0,"Small"
"111","2008","10","16001",1,16,"Buffalo Wild Wings","3223 E Louise Dr #103","Meridian","ID","83642","ADA, ID","Food_Beverage_Service","private",0,0,750,0,"Small"
"112","2008","06","16001",1,16,"Coffee Shop","6360 N Saguaro Hills Ave 100","Meridian","ID","83642","ADA, ID","Food_Beverage_Service","private",1,1800,190,0,"Small"
"113","2009","08","16001",1,16,"Perkins Office","200 E GOWEN RD","Boise","ID","83716","ADA, ID","Offices_1-3_stories","private",1,2600,131,0,"Small"
"114","2008","06","16001",1,16,"Fred Meyer Garden City #449 Store/Pharmacy (Add/Remodel)","5425 W Chinden Blvd","Garden City","ID","83714","ADA, ID","Stores","private",1,2500,2000,0,"Small"
"115","2009","09","16001",1,16,"Medical Building","1736 Millenium Way","Meridian","ID","83642","ADA, ID","Clinics_Nursing_Convalescent_Facilities","private",1,5900,558,0,"Small"
"116","2009","03","16001",1,16,"Einstein's Oilery Auto Lube Shop","8488 W Overland Rd","Boise","ID","83709","ADA, ID","Auto_Service","private",0,0,250,0,"Small"
"117","2009","05","16001",1,16,"Office/WQarehouse Building Alterations (NEGOTIATED0","1500 Shoreline Dr","Boise","ID","83702","ADA, ID","Warehouses_Non-Refrigerated","private",0,0,724,0,"Small"
"118","2009","09","16001",1,16,"Restaurant (Alteration)","2590 N EAGLE RD # 100","Meridian","ID","83646","ADA, ID","Food_Beverage_Service","private",0,0,188,0,"Small"
"119","2008","01","16001",1,16,"Plaza Tenant Improve for Indigent Services & Assessor","190 E Front St","Boise","ID","83702","ADA, ID","Offices_1-3_stories","county",0,0,2748,0,"Small"
"120","2009","02","16001",1,16,"Storate Building","658 Principle Place N Ste 7","Meridian","ID","83642","ADA, ID","Warehouses_Non-Refrigerated","private",1,10700,842,0,"Small"
"121","2009","10","16001",1,16,"Townhouse","2217 S DOROTHY AVE","Boise","ID","83706","ADA, ID","Apartments_3_or_4_Units","private",1,3000,140,3,"Small"
"122","2009","07","16001",1,16,"Martial Arts School (TI)","200 N Maple Grove Rd","Boise","ID","83704","ADA, ID","Special_Schools","private",0,0,150,0,"Small"
"123","2009","07","16001",1,16,"Spring Creek Assisted living Bldg D (BRGOTIATED)","10139 W Overland Rd","Boise","ID","83709","ADA, ID","Clinics_Nursing_Convalescent_Facilities","private",1,26500,2135,0,"Medium"
"124","2009","09","16001",1,16,"Key Business Center (Alteration)","702 W IDAHO ST","Boise","ID","83702","ADA, ID","Offices_1-3_stories","private",0,0,80,0,"Small"
"125","2008","07","16001",1,16,"Specialty Construction Supply","348 W 13th Pl","Meridian","ID","83642","ADA, ID","Stores","private",1,15200,1079,0,"Small"
"126","2008","10","16001",1,16,"Office Building (Alteration) Wells Fargo Bank","505 W Bannock St Block 41","Boise","ID","83702","ADA, ID","Offices_1-3_stories","private",0,0,150,0,"Small"
"127","2008","02","16001",1,16,"Office Building (Shell Only)","1655 Vinnell St","Boise","ID","83709","ADA, ID","Offices_1-3_stories","private",1,5200,533,0,"Small"
"128","2009","10","16001",1,16,"Townhouse","2215 S DOROTHY AVE","Boise","ID","83706","ADA, ID","Apartments_3_or_4_Units","private",1,3300,140,4,"Small"
"129","2008","06","16001",1,16,"Renaissance High School 2nd Floor Structure","Former Jabil Facility","Meridian","ID","83642","ADA, ID","Senior_High_Schools","county",0,0,2100,0,"Small"
"130","2008","07","16001",1,16,"Retail Shops (Shell Only)","3359 S Federal Way","Boise","ID","83705","ADA, ID","Stores","private",1,6900,656,0,"Small"
"131","2008","01","16001",1,16,"Office Building (Alteration)","1517 N Milwaukee St","Ada County","ID","","ADA, ID","Offices_1-3_stories","private",0,0,100,0,"Small"
"132","2008","03","16001",1,16,"Zoo Boise African Village Adventure (NEGOTIATED)","355 Julia Davis Dr","Boise","ID","83702","ADA, ID","Animal_Fish_Plant_Facilities","private",1,2700,310,0,"Small"
"133","2009","05","16001",1,16,"St. Lukes Regional Medical Center (Alts)","100 E Idaho St","Boise","ID","83712","ADA, ID","Clinics_Nursing_Convalescent_Facilities","private",0,0,284,0,"Small"
"134","2008","01","16001",1,16,"Office Building (Alteration)","1881 Marcon Ln W","Meridian","ID","83642","ADA, ID","Offices_1-3_stories","private",0,0,189,0,"Small"
"135","2009","09","16001",1,16,"Petsmart Retail Store #1933 (Boise, ID)","130 N Milwaukee St","Boise","ID","83704","ADA, ID","Stores","private",1,30000,1000,0,"Medium"
"136","2008","07","16001",1,16,"Office Building (Alteration)","250 E Parkcenter Blvd","Boise","ID","83706","ADA, ID","Offices_1-3_stories","private",0,0,156,0,"Small"
"137","2008","07","16001",1,16,"Apartment Building (Alteration)","1510 N 13th St 200","Boise","ID","83702","ADA, ID","Apartments_Alterations_Stories_Unknown","private",0,0,75,0,"Small"
"138","2009","06","16001",1,16,"Community Detoxification Facility","320 Allumbaugh St","Boise","ID","83704","ADA, ID","Clinics_Nursing_Convalescent_Facilities","county",1,9700,1630,0,"Small"
"139","2008","12","16001",1,16,"Retail Building (Alteration) Idaho House Of Scooters","2374 E Cinema Dr E","Meridian","ID","83642","ADA, ID","Stores","private",0,0,96,0,"Small"
"140","2008","06","16001",1,16,"Boise Racquet & Swim Club - Tennis Facility (NEGOTIATED)","1116 N Cole Rd","Boise","ID","83704","ADA, ID","Gyms_Field_Houses_Indoor_Pools","private",1,32000,2208,0,"Medium"
"141","2008","05","16001",1,16,"Franklin Towne Place Mall (Exterior Facade Upgrade)","Site to be announced","Boise","ID","83704","ADA, ID","Shopping_Centers","private",0,0,200,0,"Small"
"142","2008","05","16001",1,16,"Arts West Academy for Performing/Visual Arts (NEGOTIATED)","2500 Block West- State Sreet","Eagle","ID","83401","ADA, ID","Special_Schools","private",3,16100,1399,0,"Medium"
"143","2009","06","16001",1,16,"College of Western ID - Boise ID (TI) (NEGOTIATED)","1352 S Eagle Flight Way","Boise","ID","83709","ADA, ID","Colleges_Universities_Except_Community","private",0,0,1180,0,"Small"
"144","2008","07","16001",1,16,"Dental Office Building (Alteration)","1880 W Judith Ln 210","Boise","ID","83705","ADA, ID","Clinics_Nursing_Convalescent_Facilities","private",0,0,193,0,"Small"
"145","2008","12","16001",1,16,"Eagle Island Crossing - Inline Retail Bldg B","W Flint Drive &","Eagle","ID","83616","ADA, ID","Shopping_Centers","private",1,7100,532,0,"Small"
"146","2008","05","16001",1,16,"BSU - Varsity Center Hallway Upgrade","1190 University Dr","Boise","ID","83706","ADA, ID","Miscellaneous_Amusement_Recreational","state",0,0,132,0,"Small"
"147","2008","07","16001",1,16,"Ada County Courthouse Admin & Procecuting Office Remodel","200 W Front St","Boise","ID","83702","ADA, ID","Capitols_Court_Houses_City_Halls","county",0,0,494,0,"Small"
"148","2008","10","16001",1,16,"Storage Building","2021 E Wilson Ln","Meridian","ID","83642","ADA, ID","Warehouses_Non-Refrigerated","private",1,8500,350,0,"Small"
"149","2009","03","16001",1,16,"Orchard Railhead Phase 1 & Phase 2","Orchard Townsite approx 16","Boise","ID","83706","ADA, ID","Offices_1-3_stories","federal",1,9600,762,0,"Small"
"150","2009","02","16001",1,16,"Office Building (Alteration)","60 N Cole Rd","Boise","ID","83704","ADA, ID","Offices_1-3_stories","private",0,0,200,0,"Small"
"151","2008","07","16001",1,16,"Burlington Coat Factory ( Boise ID) Remodel","7201 W Fairview Ave","Boise","ID","83704","ADA, ID","Stores","private",0,0,400,0,"Small"
"152","2008","04","16001",1,16,"Walgreen's Drug Store","Federal Way & Findley","Boise","ID","83705","ADA, ID","Stores","private",1,14600,1500,0,"Small"
"153","2008","07","16001",1,16,"Office Building (Alteration)","401 W Front St Ste 303","Boise","ID","","ADA, ID","Offices_1-3_stories","private",0,0,228,0,"Small"
"154","2008","05","16001",1,16,"Whittier Elem School Relocated Portable Buildings","301 N 29th St","Boise","ID","83702","ADA, ID","Primary_Schools","county",0,0,99,0,"Small"
"155","2009","10","16001",1,16,"Key Bank @ Meridian ID","Eagle & Ustick","Meridian","ID","83642","ADA, ID","Banks_Financial_1-3_stories","private",1,3700,350,0,"Small"
